data,amount,category,description 
10-03-2024,6000.0,Expense,Food  
05-08-2024,7500,Income,Freelance  
15-02-2024,2500.5,Expense,Rent  
28-06-2024,4000,Expense,Transport  
12-09-2024,9000,Income,Bonus  
03-01-2024,1200,Expense,Groceries  
21-11-2024,5000,Income,Investment  
17-05-2024,4500.75,Expense,Entertainment  
08-07-2024,3000,Income,Freelance  
19-10-2024,8500,Expense,Utilities  
14-03-2024,11000,Income,Salary  
30-09-2024,7000,Expense,Food  
22-12-2024,9500.5,Income,Bonus  
11-06-2024,3800,Expense,Groceries  
04-05-2024,2400,Expense,Transport  
07-08-2024,10200,Income,Investment  
27-04-2024,6800,Expense,Rent  
09-02-2024,12000,Income,Salary  
16-11-2024,5500,Expense,Entertainment  
02-07-2024,7800.25,Income,Freelance  
25-10-2024,3400,Expense,Food  
29-03-2024,6400,Income,Salary  
18-12-2024,4000,Expense,Transport  
13-05-2024,10000,Income,Bonus  
01-01-2024,2500.75,Expense,Utilities  
26-09-2024,8900,Income,Investment  
06-04-2024,3100,Expense,Groceries  
10-08-2024,7300,Expense,Rent  
